RESPOND_ID,EXAMIN_BEGIN_DE,HOLD_INDVDL_MVMN_MN_ONE_TY,SEXDSTN_FLAG_NM,AGRDE_FLAG_NM,HSHLD_COMPO_NM,HSHLD_INCOME_DGREE_NM,OCCP_CL_NM,ANSWRR_OC_AREA_NM
2311,20230701,전동 킥보드,남성,50대,자녀 성장기(막내가 초등학생～고등학생),"1,100~1,500만원 내외",경영/관리직,서울
2343,20230701,"오토바이(바이크, 스쿠터)",남성,30대,자녀 독립기(막내가 결혼한 상태),"1,100~1,500만원 내외",사무직,서울
2357,20230701,"오토바이(바이크, 스쿠터)",남성,50대,자녀 성인기(막내가 대학생～결혼 전),"1,000만원 내외",전문직,충남
2366,20230701,"오토바이(바이크, 스쿠터)",남성,50대,자녀 성인기(막내가 대학생～결혼 전),600만원 내외,기술/숙련직,서울
2372,20230701,전동 킥보드,남성,40대,1인 가구,500만원 내외,기술/숙련직,인천
2381,20230701,전기 자전거,남성,20대,자녀 성인기(막내가 대학생～결혼 전),"2,100만원 이상",사무직,경기
2399,20230701,전동 킥보드,남성,40대,자녀 성장기(막내가 초등학생～고등학생),600만원 내외,기술/숙련직,서울
2401,20230701,전기 자전거,남성,40대,자녀 유아기(막내가 초등학교 입학 전),700만원 내외,기술/숙련직,경북
2402,20230701,"오토바이(바이크, 스쿠터)",남성,60대 이상,자녀 독립기(막내가 결혼한 상태),600만원 내외,자영업,경기
2405,20230701,"오토바이(바이크, 스쿠터)",여성,40대,자녀 성인기(막내가 대학생～결혼 전),300만원 내외,판매/서비스직,서울
2426,20230701,전기 자전거,여성,30대,1인 가구,모름,사무직,대전
2427,20230701,전기 자전거,남성,40대,자녀 유아기(막내가 초등학교 입학 전),"1,000만원 내외",사무직,서울
2431,20230701,전기 자전거,남성,40대,자녀 유아기(막내가 초등학교 입학 전),700만원 내외,사무직,서울
2436,20230701,전동 킥보드,남성,50대,자녀 성장기(막내가 초등학생～고등학생),900만원 내외,사무직,서울
2446,20230701,전동 휠,남성,50대,자녀 성장기(막내가 초등학생～고등학생),"1,100~1,500만원 내외",전문직,대전
2447,20230701,전동 킥보드,남성,50대,자녀 성인기(막내가 대학생～결혼 전),700만원 내외,사무직,서울
2466,20230701,전동 휠,남성,40대,자녀 성장기(막내가 초등학생～고등학생),700만원 내외,일반 공무원/준공무원,강원
2475,20230701,전기 자전거,남성,60대 이상,자녀 성인기(막내가 대학생～결혼 전),900만원 내외,기술/숙련직,서울
2479,20230701,전동 스케이트보드,남성,40대,자녀 성장기(막내가 초등학생～고등학생),400만원 내외,기술/숙련직,충북
2489,20230701,전기 자전거,남성,40대,자녀 유아기(막내가 초등학교 입학 전),600만원 내외,사무직,서울
2497,20230701,전동 킥보드,여성,30대,자녀 성인기(막내가 대학생～결혼 전),700만원 내외,사무직,경기
2511,20230701,전기 자전거,남성,50대,자녀 성장기(막내가 초등학생～고등학생),"1,100~1,500만원 내외",전문직,서울
2512,20230701,전기 자전거,남성,60대 이상,자녀 성인기(막내가 대학생～결혼 전),"1,000만원 내외",무직/기타,서울
2525,20230701,전동 킥보드,남성,60대 이상,자녀 성인기(막내가 대학생～결혼 전),600만원 내외,판매/서비스직,전남
2529,20230701,"오토바이(바이크, 스쿠터)",남성,40대,신혼기 초과(자녀없음),400만원 내외,자영업,부산
2531,20230701,전동 킥보드,남성,40대,자녀 유아기(막내가 초등학교 입학 전),800만원 내외,사무직,광주
2544,20230701,전기 자전거,남성,40대,자녀 독립기(막내가 결혼한 상태),600만원 내외,기술/숙련직,충북
2550,20230701,전동 킥보드,남성,50대,자녀 성인기(막내가 대학생～결혼 전),800만원 내외,사무직,대전
2551,20230701,"오토바이(바이크, 스쿠터)",남성,60대 이상,자녀 성인기(막내가 대학생～결혼 전),500만원 내외,사무직,경북
2562,20230701,전동 스쿠터,남성,50대,자녀 성인기(막내가 대학생～결혼 전),500만원 내외,자영업,경기
2582,20230701,전동 휠,여성,40대,자녀 성장기(막내가 초등학생～고등학생),600만원 내외,사무직,울산
2587,20230701,전기 자전거,남성,40대,자녀 성장기(막내가 초등학생～고등학생),600만원 내외,사무직,경기
2595,20230701,"오토바이(바이크, 스쿠터)",남성,30대,1인 가구,400만원 내외,자영업,대구
2612,20230701,전동 스쿠터,남성,40대,자녀 유아기(막내가 초등학교 입학 전),"1,100~1,500만원 내외",자영업,경북
2618,20230701,"오토바이(바이크, 스쿠터)",남성,30대,자녀 유아기(막내가 초등학교 입학 전),400만원 내외,판매/서비스직,경기
2619,20230701,전기 자전거,남성,60대 이상,자녀 독립기(막내가 결혼한 상태),400만원 내외,기술/숙련직,충남
2621,20230701,전기 자전거,남성,40대,자녀 성장기(막내가 초등학생～고등학생),700만원 내외,기술/숙련직,경기
2622,20230701,전기 자전거,남성,50대,자녀 성인기(막내가 대학생～결혼 전),"1,100~1,500만원 내외",경영/관리직,서울
2635,20230701,전기 자전거,남성,60대 이상,자녀 독립기(막내가 결혼한 상태),500만원 내외,전문직,서울
2638,20230701,전기 자전거,남성,60대 이상,자녀 성인기(막내가 대학생～결혼 전),700만원 내외,기술/숙련직,서울
2650,20230701,전동 킥보드,여성,30대,자녀 성인기(막내가 대학생～결혼 전),800만원 내외,사무직,광주
2662,20230701,전동 킥보드,남성,50대,자녀 성인기(막내가 대학생～결혼 전),500만원 내외,기술/숙련직,경기
2672,20230701,"오토바이(바이크, 스쿠터)",남성,40대,자녀 성장기(막내가 초등학생～고등학생),"2,100만원 이상",경영/관리직,서울
2673,20230701,전기 자전거,남성,50대,자녀 성인기(막내가 대학생～결혼 전),"1,000만원 내외",경영/관리직,서울
2691,20230701,전기 자전거,남성,60대 이상,자녀 성인기(막내가 대학생～결혼 전),600만원 내외,사무직,전북
2701,20230701,전동 휠,남성,60대 이상,자녀 독립기(막내가 결혼한 상태),800만원 내외,무직/기타,경기
2702,20230701,전동 킥보드,여성,40대,신혼기 초과(자녀없음),900만원 내외,기술/숙련직,경기
2733,20230701,전기 자전거,남성,60대 이상,자녀 성인기(막내가 대학생～결혼 전),500만원 내외,자영업,경북
2737,20230701,전동 킥보드,여성,50대,자녀 성인기(막내가 대학생～결혼 전),700만원 내외,무직/기타,충북
2758,20230701,전동 킥보드,남성,40대,신혼기(자녀없음),800만원 내외,자영업,서울
2773,20230701,"오토바이(바이크, 스쿠터)",남성,40대,자녀 유아기(막내가 초등학교 입학 전),700만원 내외,자영업,부산
2778,20230701,전기 자전거,남성,40대,자녀 성장기(막내가 초등학생～고등학생),700만원 내외,사무직,경기
2811,20230701,전기 자전거,남성,40대,1인 가구,400만원 내외,사무직,대전
2812,20230701,전동 킥보드,남성,30대,자녀 유아기(막내가 초등학교 입학 전),400만원 내외,일반 공무원/준공무원,경기
2815,20230701,전동 휠,여성,40대,자녀 성장기(막내가 초등학생～고등학생),800만원 내외,사무직,경기
2816,20230701,전동 휠,남성,40대,자녀 성장기(막내가 초등학생～고등학생),"1,600~2,000만원 내외",경영/관리직,부산
2819,20230701,"오토바이(바이크, 스쿠터)",남성,60대 이상,1인 가구,500만원 내외,자영업,경기
2821,20230701,"오토바이(바이크, 스쿠터)",남성,40대,자녀 유아기(막내가 초등학교 입학 전),700만원 내외,사무직,서울
2822,20230701,전기 자전거,남성,60대 이상,자녀 독립기(막내가 결혼한 상태),100만원 이하,무직/기타,충남
2842,20230701,전기 자전거,여성,30대,자녀 유아기(막내가 초등학교 입학 전),900만원 내외,전업주부,경기
2857,20230701,전동 스쿠터,남성,50대,자녀 유아기(막내가 초등학교 입학 전),600만원 내외,자영업,경기
2874,20230701,전동 킥보드,남성,40대,자녀 유아기(막내가 초등학교 입학 전),400만원 내외,기술/숙련직,경기
2897,20230701,전기 자전거,남성,30대,신혼기(자녀없음),500만원 내외,사무직,서울
2902,20230701,전동 킥보드,남성,30대,자녀 유아기(막내가 초등학교 입학 전),300만원 내외,사무직,충북
2913,20230701,전기 자전거,남성,40대,자녀 성인기(막내가 대학생～결혼 전),600만원 내외,사무직,서울
2917,20230701,전기 자전거,여성,40대,신혼기 초과(자녀없음),"1,000만원 내외",사무직,서울
2924,20230701,"오토바이(바이크, 스쿠터)",남성,50대,자녀 성인기(막내가 대학생～결혼 전),"1,100~1,500만원 내외",판매/서비스직,경북
2926,20230701,"오토바이(바이크, 스쿠터)",남성,40대,자녀 성인기(막내가 대학생～결혼 전),500만원 내외,경영/관리직,경기
2931,20230701,전동 휠,남성,60대 이상,자녀 독립기(막내가 결혼한 상태),800만원 내외,경영/관리직,경기
2949,20230701,전동 스케이트보드,남성,40대,자녀 성장기(막내가 초등학생～고등학생),"1,000만원 내외",사무직,경기
2969,20230701,전기 자전거,남성,40대,자녀 성장기(막내가 초등학생～고등학생),"1,000만원 내외",경영/관리직,서울
