auser_lfst_id,info_obtn_dt,auser_sxdst_cd,age_group_cd,occpn_nm,hshld_incm_group_nm,mrrg_yn_nm,chdrn_yn_nm,rsid_fom_nm,auser_ara_ctprv_nm,auser_ara_gu_nm,auser_ara_dong_nm,car_group_nm,craln_tlphn_mkr_nm,craln_tlphn_sbscr_cmpn_nm,frnt_ntds_prfn_cont,dgtl_hmpl_prfn_cont,lsur_car_prfn_cont,bty_prfn_cont,lilhd_kchn_prfn_cont,sprt_fshn_prfn_cont,grcs_helth_prfn_cont,jrny_prfn_cont,fshn_wear_prfn_cont,auser_fshn_stff_prfn_cont,lfst_cd,info_obtn_site_url
D***93,201903**,M,2,,,      ,          ,,경남,진주시,평거동,,,,,,,,,,식품/건강,,,,패션의류,"http://wcs.gslook.com/gsshop/gsshopMobile/btnevt?data={""eventCode"":""addcart"",""eventValue"":""25654052,1,18910,"",""pageInfo"":{""visitedTime"":1565160568094,""currentUrl"":""http://m.gsshop.com/prd/prd.gs?prdid=25654052&rank=34&ab=a&gsid=cateshop-mresult&sectSeq=1462953-L-A"",""charset"":""UTF-8"",""referrerUrl"":"""",""pageType"":""PRD""},""buttonEventInfo"":{""btnNameList"":[]},""pageViewId"":""pvid-liAtz6v6cK7Bnd3xC3nVq-1b99da3971f7-1565160568114"",""userInfo"":{""revisit"":true,""pcId"":""RsOS15MUrKEv9JNKotN5s"",""userId"":""38288503"",""visitorId"":""38288503"",""gender"":""2"",""age"":""50""},""environment"":{""mobile"":true,""mobileBrand"":"""",""mobileDevice"":"""",""browserGroup"":""chrome"",""browser"":""Chrome/76.0.3809.89"",""language"":""ko-KR"",""operatingSystemGroup"":""android"",""operatingSystem"":""Android 9"",""resolution"":""412x846"",""app"":false},""sessionId"":""1565158396109-RsOS15MUrKEv9JNKotN5s"",""appmediatype"":""BT"",""mediatype"":"""",""catvid"":""38288503""}"
D***34,201903**,M,3,"사무직 (일반사무직, 공무원, 직업군인)",500~599만원,아니오,          ,단독주택,인천,남구,주안4동,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)",LG,SKT,,,,,생활/주방,,,,,,식품/건강,http://m.gsshop.com/deal/deal.gs?dealNo=50062493&arm=2-U-U&expId=flxbl_743&mseq=A00451-RL-14&fromApp=Y
D***68,201903**,F,4,"주부 (전업주부, 파트타임 근무 주부)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,용인시 처인구,남사면,,삼성,SKT,,,,,,,식품/건강,,,,식품/건강,http://m.11st.co.kr/MW/api/app/elevenst/product/saveConversionLog.tmall?prdNo=324315349&eventDomainYN=N&actionType=basket&noCache=1566131789124
D***15,201903**,F,4,"사무직 (일반사무직, 공무원, 직업군인)",300~399만원,아니오,          ,아파트/ 주상복합,서울,영등포구,당산동5가,"준중형SUV (투싼, 스포티지, QM5, 티구안급 등)",삼성,SKT,,,,,,,식품/건강,,,,식품/건강,http://mitem.gmarket.co.kr/ItemDetail/Index?goodsCode=1639356169&seq=23ec1f038ce34fc79b576e460dce9583&IsSmartDelivery=False&CustNo=jMyNR38jOTkxMQyxMjcxODk4MDJ/Rw==&IsShowCertInfo=True&IsOrg=false
D***58,201903**,F,3,"주부 (전업주부, 파트타임 근무 주부)",400~499만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,서울,성북구,하월곡동,"경차 (모닝, 스파크 등)",삼성,알뜰폰(MVNO),,,,,생활/주방,,,,,,디지털/가전,http://mitem.auction.co.kr/vip?itemNo=B263357442
D***16,201903**,F,2,무직,200~299만원,예    ,자녀 있음 ,단독주택,강원,원주시,단계동,,애플,LG U+,,,,,,,,,패션의류,,뷰티,http://mitem.auction.co.kr/ItemDescription?ItemNo=B640825002
D***53,201903**,M,2,"학생 (초중고학생, 대학생, 대학원생)",100만원 미만,아니오,          ,연립주택/ 다세대/ 빌라,부산,남구,대연3동,,LG,LG U+,,,,,,,,여행,,,여행,http://mitem.gmarket.co.kr/ItemDetail/Index?goodsCode=1579807553&seq=d9562b874dfe4bce889ffcc80fad3fcd&IsSmartDelivery=False&CustNo=TIwOR38DMjcxOAx3MTAzNjI0MzB/Rw==&IsShowCertInfo=True&IsOrg=false
D***81,201903**,F,4,"사무직 (일반사무직, 공무원, 직업군인)",500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,영등포구,대림1동,,삼성,SKT,,,,,,,,,,패션잡화,패션잡화,http://m.gsshop.com/prd/prd.gs?prdid=37229142&bnclick=main-t02_ptiA_RelatedItemItemArViewTvVer2Refine640&rank=14&mseq=A00054-L_D-14&fromApp=Y
D***13,201903**,M,3,"교직 (교사, 유치원교사, 학원강사)",300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,화성시,병점동,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)",애플,SKT,,,,,,,,,,패션잡화,디지털/가전,http://m.11st.co.kr/MW/api/app/elevenst/product/getProductDetail.tmall?prdNo=2409870206&trTypeCd=MAS05&trCtgrNo=950075&appId=01&appType=appmw&appVCA=816&deviceID=198c3238-5334-3795-9b89-08bf4960bcb3&tStoreYN=N&deviceType=android&detailViewType=webviewReady
D***,201903**,M,2,,,      ,          ,,울산,남구,무거동,,,,,,,,,,,,패션의류,,생활/주방,http://m.gsshop.com/deal/deal.gs?dealNo=50445147&prdCd=38030866&mseq=399160
D***,201903**,M,2,,,      ,          ,,경기,평택시,신장1동,,,,,,,뷰티,,,,,,,뷰티,http://m.11st.co.kr/MW/api/app/elevenst/product/saveConversionLog.tmall?prdNo=1397649113&eventDomainYN=N&actionType=basket&noCache=1559703043955
D***,201903**,F,5,,,      ,          ,,서울,강북구,미아동,,,,,,,,,,식품/건강,,,,식품/건강,http://m.coupang.com/vm/products/46427519/items/164863699/offers/banner?vendorItemId=3390106676&sdpVisitKey=h1zjd8tegopapf686y
D***9,201903**,M,2,,,      ,          ,,서울,동대문구,이문동,,,,,,,,생활/주방,,,,,,패션의류,http://m.11st.co.kr/MW/api/app/elevenst/search/listing.tmall?ab=B&abTest=search_190604&searchKeyword=깨끗한나라 벚꽃 30롤 3팩&decSearchKeyword=깨끗한나라+벚꽃+30롤+3팩
D***8,201903**,M,2,,,      ,          ,,대구,서구,중리동,,,,,,,뷰티,,,,,,,디지털/가전,http://m.gsshop.com/prd/prd.gs?prdid=50209207&bnclick=main-t02_ptiA_RelatedItemItemArViewTvVer2Refine640&rank=1&mseq=A00054-L_D-1&fromApp=Y
D***8,201903**,M,2,,,      ,          ,,광주,북구,중흥동,,,,,,,,,,,,패션의류,,패션의류,http://mitem.auction.co.kr/ItemDescription?ItemNo=B543365386
D***9,201903**,F,3,,,      ,          ,,울산,남구,옥동,,,,,,,,,,,,패션의류,,디지털/가전,http://m.11st.co.kr/MW/api/app/elevenst/product/getProductDetail.tmall?prdNo=2435929304&appId=01&appType=appmw&appVCA=816&deviceID=198c3238-5334-3795-9b89-08bf4960bcb3&tStoreYN=N&deviceType=android&detailViewType=webviewReady
D***1,201903**,F,3,,,      ,          ,,경기,남양주시,호평동,,,,,,레저/자동차,,,,,,,,레저/자동차,http://mitem.auction.co.kr/ItemDescription?ItemNo=B622537360
