prcha_prrrg_prduc_id,info_obtn_dt,auser_sxdst_cd,age_group_cd,occpn_nm,hshld_incm_group_nm,mrrg_yn_nm,chdrn_yn_nm,rsid_fom_nm,auser_ara_ctprv_nm,auser_ara_gu_nm,auser_ara_dong_nm,craln_tlphn_mkr_nm,craln_tlphn_sbscr_cmpn_nm,prduc_ctgry_lrcls_nm,prduc_ctgry_mdcls_nm,prduc_ctgry_smcls_nm,otdr_prduc_nm,info_obtn_site_url
D***,201903**,M,4,"사무직 (일반사무직, 공무원, 직업군인)",200~299만원,      ,          ,아파트/ 주상복합,강원,춘천시,동내면,삼성,SKT,자전거,자전거관리용품,에어펌프(발펌프),자전거펌프/미니펌프/공기주입기/자전거용품,http://www.11st.co.kr/product/SellerProductDetail.tmall?method=getSellerProductDetail&prdNo=12932277
D***4,201903**,M,3,"전문직 (의사, 판검사, 예술가, 종교인)",900~999만원,아니오,          ,아파트/ 주상복합,충북,청주시 상당구,사천동,삼성,알뜰폰(MVNO),자전거,자전거신발/고글/헬멧,장갑,자전거방한토시 바이크 핸들덮개 방한커버 손토시,http://www.11st.co.kr/product/SellerProductDetail.tmall?method=getSellerProductDetail&prdNo=1164858474
D***6,201903**,M,3,"사무직 (일반사무직, 공무원, 직업군인)",500~599만원,아니오,          ,아파트/ 주상복합,서울,강북구,미아동,삼성,SKT,자전거,자전거부품,브레이크패드,[FNS]크락스오가닉 디스크브레이크 패드(벌크제품),http://www.11st.co.kr/product/SellerProductDetail.tmall?method=getSellerProductDetail&prdNo=1097542995
D***,201903**,M,2,"사무직 (일반사무직, 공무원, 직업군인)",200~299만원,      ,          ,아파트/ 주상복합,서울,강남구,논현1동,삼성,SKT,자전거,자전거관리용품,펑크패치,자전거펑크패치(패치30개+접착제) 자전거타이어수리,http://www.11st.co.kr/product/SellerProductDetail.tmall?method=getSellerProductDetail&prdNo=12932340
D***,201903**,M,4,"자영업 (도소매업, 숙박업, 미용업)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,광주,광산구,광산동,삼성,SKT,자전거,자전거신발/고글/헬멧,헬멧,2018GIRO 지로 QUARTER 쿼터 어반 자전거 헬멧 BMX,http://www.11st.co.kr/product/SellerProductDetail.tmall?method=getSellerProductDetail&prdNo=1246004626
D***,201903**,F,4,"사무직 (일반사무직, 공무원, 직업군인)",200~299만원,      ,          ,아파트/ 주상복합,경기,오산시,갈곶동,삼성,SKT,자전거/보드,일반자전거,외발/삼륜/2인용,[자이덴]지오닉스 나누미 에코 성인용 세발 트라이 삼륜자전거,http://item.gmarket.co.kr/Item?goodscode=1292909571
D***,201903**,M,5,"판매직 (상점점원, 보험설계사, 노점상)",500~599만원,예    ,자녀 있음 ,단독주택,강원,춘천시,약사동,삼성,KT,자전거,튜닝용품,후미등,문라이트크레센트/코멧/쉴드/디펜더/메테오/ 자전거라이트 자전거후미등,http://www.11st.co.kr/product/SellerProductDetail.tmall?method=getSellerProductDetail&prdNo=1086040122
D***,201903**,M,3,"사무직 (일반사무직, 공무원, 직업군인)",200~299만원,      ,          ,아파트/ 주상복합,서울,중랑구,중화2동,삼성,SKT,자전거,튜닝용품,전시스탠드,[학성스포츠]아동용16/18/20인치 자전거스탠드/보조바퀴떼어내고 두발자전거전환시사용,http://www.11st.co.kr/product/SellerProductDetail.tmall?method=getSellerProductDetail&prdNo=1226615595
D***,201903**,F,3,"사무직 (일반사무직, 공무원, 직업군인)",200~299만원,      ,          ,아파트/ 주상복합,경기,화성시,반송동,삼성,SKT,레저/자동차,자전거/용품,자전거액세서리,"매그닉라이트/전조등,후미등싱글판매/충전필요없는 독일특허 비접촉 자전거라이트/자전거용품/무료배송",http://www.11st.co.kr/product/SellerProductDetail.tmall?method=getSellerProductDetail&prdNo=1242176076
D***9,201903**,M,3,"사무직 (일반사무직, 공무원, 직업군인)",200~299만원,      ,          ,아파트/ 주상복합,서울,강남구,논현1동,삼성,SKT,레저/자동차,자전거/용품,자전거의류/잡화,[PUMA]푸마 여성 기모 티셔츠 3종세트 NFYKFG01,http://www.hnsmall.com/display/goods.do?goods_code=12835184
